EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,retiro_2016,renuncia2016
1,51,Travel_Rarely,Sales,6,2,Healthcare Representative,131160,1.0,11,6,1,0,3.0,4.0,2.0,3,3,,0
2,31,Travel_Frequently,Research & Development,10,1,Research Scientist,41890,0.0,23,3,5,1,3.0,2.0,4.0,2,4,Resignation,1
3,32,Travel_Frequently,Research & Development,17,4,Sales Executive,193280,1.0,15,2,5,0,2.0,2.0,1.0,3,3,,0
4,38,Non-Travel,Research & Development,2,5,Human Resources,83210,3.0,11,5,8,7,4.0,4.0,3.0,2,3,,0
5,32,Travel_Rarely,Research & Development,10,1,Sales Executive,23420,4.0,12,2,6,0,4.0,1.0,3.0,3,3,,0
6,46,Travel_Rarely,Research & Development,8,3,Research Director,40710,3.0,13,5,7,7,3.0,2.0,2.0,3,3,,0
7,28,Travel_Rarely,Research & Development,11,2,Sales Executive,58130,2.0,20,2,0,0,1.0,3.0,1.0,3,4,Resignation,1
8,29,Travel_Rarely,Research & Development,18,3,Sales Executive,31430,2.0,22,2,0,0,1.0,2.0,3.0,3,4,,0
9,31,Travel_Rarely,Research & Development,1,3,Laboratory Technician,20440,0.0,21,2,9,7,2.0,4.0,3.0,3,4,,0
10,25,Non-Travel,Research & Development,7,4,Laboratory Technician,134640,1.0,13,2,6,1,2.0,1.0,3.0,3,3,,0
11,45,Travel_Rarely,Research & Development,17,2,Laboratory Technician,79910,0.0,13,2,20,4,3.0,4.0,3.0,2,3,,0
13,55,Travel_Rarely,Research & Development,14,4,Sales Executive,55380,0.0,17,2,36,4,4.0,1.0,3.0,3,3,,0
14,47,Non-Travel,Research & Development,1,1,Research Scientist,57620,1.0,11,4,10,9,1.0,2.0,2.0,2,3,Resignation,1
15,28,Travel_Rarely,Research & Development,1,3,Manufacturing Director,25920,1.0,14,2,5,0,4.0,4.0,2.0,3,3,,0
16,37,Travel_Rarely,Research & Development,1,3,Healthcare Representative,53460,4.0,11,2,5,0,3.0,4.0,4.0,3,3,,0
17,21,Travel_Rarely,Research & Development,3,2,Laboratory Technician,42130,1.0,12,3,3,1,4.0,3.0,4.0,2,3,,0
18,37,Non-Travel,Research & Development,1,3,Sales Executive,41270,2.0,13,2,5,0,1.0,4.0,3.0,3,3,,0
19,35,Travel_Rarely,Sales,7,4,Sales Representative,24380,7.0,16,5,7,6,2.0,2.0,2.0,2,3,,0
20,38,Travel_Rarely,Research & Development,8,3,Manager,68700,1.0,11,5,8,7,1.0,1.0,3.0,3,3,,0
21,26,Travel_Frequently,Research & Development,1,4,Laboratory Technician,104470,1.0,18,3,6,1,3.0,2.0,1.0,3,3,,0
22,50,Travel_Rarely,Sales,8,4,Research Scientist,96670,3.0,23,2,10,1,1.0,2.0,2.0,2,4,,0
23,53,Travel_Rarely,Research & Development,11,4,Research Scientist,21480,3.0,11,2,5,1,3.0,3.0,2.0,3,3,,0
24,42,Travel_Rarely,Research & Development,4,4,Manufacturing Director,89260,1.0,14,4,20,11,2.0,3.0,3.0,1,3,,0
25,29,Travel_Frequently,Research & Development,16,4,Laboratory Technician,65130,1.0,11,2,10,0,2.0,4.0,2.0,3,3,,0
26,55,Travel_Rarely,Research & Development,1,4,Research Scientist,67990,3.0,11,2,10,0,2.0,4.0,3.0,3,3,,0
27,26,Travel_Frequently,Research & Development,9,3,Manager,162910,1.0,22,3,5,3,1.0,1.0,3.0,3,4,,0
28,37,Travel_Rarely,Sales,5,1,Research Scientist,27050,1.0,11,2,17,5,4.0,4.0,3.0,3,3,,0
