EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
1,51,Travel_Rarely,Sales,6,2,Healthcare Representative,131160,1.0,11,6,1,0,3.0,4.0,2.0,3,3
1,51,Travel_Rarely,Sales,6,2,Healthcare Representative,131160,1.0,11,6,1,0,3.0,4.0,2.0,3,3
4412,31,Travel_Frequently,Research & Development,10,1,Research Scientist,41890,0.0,23,3,5,1,3.0,2.0,4.0,2,4
3,32,Travel_Frequently,Research & Development,17,4,Sales Executive,193280,1.0,15,2,5,0,2.0,2.0,1.0,3,3
3,32,Travel_Frequently,Research & Development,17,4,Sales Executive,193280,1.0,15,2,5,0,2.0,2.0,1.0,3,3
4,38,Non-Travel,Research & Development,2,5,Human Resources,83210,3.0,11,5,8,7,4.0,4.0,3.0,2,3
4,38,Non-Travel,Research & Development,2,5,Human Resources,83210,3.0,11,5,8,7,4.0,4.0,3.0,2,3
5,32,Travel_Rarely,Research & Development,10,1,Sales Executive,23420,4.0,12,2,6,0,4.0,1.0,3.0,3,3
5,32,Travel_Rarely,Research & Development,10,1,Sales Executive,23420,4.0,12,2,6,0,4.0,1.0,3.0,3,3
6,46,Travel_Rarely,Research & Development,8,3,Research Director,40710,3.0,13,5,7,7,3.0,2.0,2.0,3,3
6,46,Travel_Rarely,Research & Development,8,3,Research Director,40710,3.0,13,5,7,7,3.0,2.0,2.0,3,3
4417,28,Travel_Rarely,Research & Development,11,2,Sales Executive,58130,2.0,20,2,0,0,1.0,3.0,1.0,3,4
8,29,Travel_Rarely,Research & Development,18,3,Sales Executive,31430,2.0,22,2,0,0,1.0,2.0,3.0,3,4
8,29,Travel_Rarely,Research & Development,18,3,Sales Executive,31430,2.0,22,2,0,0,1.0,2.0,3.0,3,4
9,31,Travel_Rarely,Research & Development,1,3,Laboratory Technician,20440,0.0,21,2,9,7,2.0,4.0,3.0,3,4
9,31,Travel_Rarely,Research & Development,1,3,Laboratory Technician,20440,0.0,21,2,9,7,2.0,4.0,3.0,3,4
10,25,Non-Travel,Research & Development,7,4,Laboratory Technician,134640,1.0,13,2,6,1,2.0,1.0,3.0,3,3
10,25,Non-Travel,Research & Development,7,4,Laboratory Technician,134640,1.0,13,2,6,1,2.0,1.0,3.0,3,3
11,45,Travel_Rarely,Research & Development,17,2,Laboratory Technician,79910,0.0,13,2,20,4,3.0,4.0,3.0,2,3
11,45,Travel_Rarely,Research & Development,17,2,Laboratory Technician,79910,0.0,13,2,20,4,3.0,4.0,3.0,2,3
12,36,Travel_Rarely,Research & Development,28,1,Laboratory Technician,33770,0.0,12,2,15,10,,4.0,3.0,3,3
12,36,Travel_Rarely,Research & Development,28,1,Laboratory Technician,33770,0.0,12,2,15,10,,4.0,3.0,3,3
13,55,Travel_Rarely,Research & Development,14,4,Sales Executive,55380,0.0,17,2,36,4,4.0,1.0,3.0,3,3
13,55,Travel_Rarely,Research & Development,14,4,Sales Executive,55380,0.0,17,2,36,4,4.0,1.0,3.0,3,3
4424,47,Non-Travel,Research & Development,1,1,Research Scientist,57620,1.0,11,4,10,9,1.0,2.0,2.0,2,3
15,28,Travel_Rarely,Research & Development,1,3,Manufacturing Director,25920,1.0,14,2,5,0,4.0,4.0,2.0,3,3
15,28,Travel_Rarely,Research & Development,1,3,Manufacturing Director,25920,1.0,14,2,5,0,4.0,4.0,2.0,3,3
16,37,Travel_Rarely,Research & Development,1,3,Healthcare Representative,53460,4.0,11,2,5,0,3.0,4.0,4.0,3,3
16,37,Travel_Rarely,Research & Development,1,3,Healthcare Representative,53460,4.0,11,2,5,0,3.0,4.0,4.0,3,3
17,21,Travel_Rarely,Research & Development,3,2,Laboratory Technician,42130,1.0,12,3,3,1,4.0,3.0,4.0,2,3
17,21,Travel_Rarely,Research & Development,3,2,Laboratory Technician,42130,1.0,12,3,3,1,4.0,3.0,4.0,2,3
