EmployeeID,Age,BusinessTravel,Department,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
1,51,Travel_Rarely,Sales,3.0,4.0,2.0,3,3
1,51,Travel_Rarely,Sales,3.0,4.0,2.0,3,3
4412,31,Travel_Frequently,Research & Development,3.0,2.0,4.0,2,4
3,32,Travel_Frequently,Research & Development,2.0,2.0,1.0,3,3
3,32,Travel_Frequently,Research & Development,2.0,2.0,1.0,3,3
4,38,Non-Travel,Research & Development,4.0,4.0,3.0,2,3
4,38,Non-Travel,Research & Development,4.0,4.0,3.0,2,3
5,32,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
5,32,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
6,46,Travel_Rarely,Research & Development,3.0,2.0,2.0,3,3
6,46,Travel_Rarely,Research & Development,3.0,2.0,2.0,3,3
4417,28,Travel_Rarely,Research & Development,1.0,3.0,1.0,3,4
8,29,Travel_Rarely,Research & Development,1.0,2.0,3.0,3,4
8,29,Travel_Rarely,Research & Development,1.0,2.0,3.0,3,4
9,31,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,4
9,31,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,4
10,25,Non-Travel,Research & Development,2.0,1.0,3.0,3,3
10,25,Non-Travel,Research & Development,2.0,1.0,3.0,3,3
11,45,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
11,45,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
12,36,Travel_Rarely,Research & Development,,4.0,3.0,3,3
12,36,Travel_Rarely,Research & Development,,4.0,3.0,3,3
13,55,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
13,55,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
4424,47,Non-Travel,Research & Development,1.0,2.0,2.0,2,3
15,28,Travel_Rarely,Research & Development,4.0,4.0,2.0,3,3
15,28,Travel_Rarely,Research & Development,4.0,4.0,2.0,3,3
16,37,Travel_Rarely,Research & Development,3.0,4.0,4.0,3,3
16,37,Travel_Rarely,Research & Development,3.0,4.0,4.0,3,3
17,21,Travel_Rarely,Research & Development,4.0,3.0,4.0,2,3
17,21,Travel_Rarely,Research & Development,4.0,3.0,4.0,2,3
